53 Ambulance 27 Available
54 FireTruck 40 Available
1 FireTruck 14 Available
55 Ambulance 39 Maintenance
2 PoliceCar 31 Available
56 FireTruck 32 Maintenance
3 PoliceCar 11 EnRoute
57 FireTruck 32 Maintenance
4 Ambulance 3 EnRoute
58 FireTruck 38 Available
5 Ambulance 24 Available
59 FireTruck 47 Maintenance
6 Ambulance 21 Maintenance
60 PoliceCar 13 Available
7 PoliceCar 50 Available
61 Ambulance 26 Available
8 FireTruck 2 Maintenance
62 FireTruck 13 Maintenance
9 Ambulance 34 Available
63 PoliceCar 5 Available
10 Ambulance 10 Available
64 Ambulance 40 Available
11 FireTruck 16 EnRoute
65 PoliceCar 33 Available
12 PoliceCar 33 EnRoute
66 Ambulance 22 Maintenance
13 Ambulance 20 Maintenance
67 Ambulance 1 Available
14 PoliceCar 19 EnRoute
68 PoliceCar 30 Maintenance
15 FireTruck 25 Maintenance
69 PoliceCar 22 Maintenance
16 PoliceCar 16 Available
70 FireTruck 29 Available
17 FireTruck 25 EnRoute
71 FireTruck 34 Available
18 FireTruck 33 Available
72 Ambulance 22 EnRoute
19 PoliceCar 50 EnRoute
73 PoliceCar 11 EnRoute
20 PoliceCar 24 Available
74 FireTruck 2 Maintenance
21 Ambulance 12 Available
75 FireTruck 25 EnRoute
22 Ambulance 45 Maintenance
76 PoliceCar 30 Maintenance
23 PoliceCar 44 EnRoute
77 FireTruck 27 EnRoute
24 Ambulance 44 Available
78 Ambulance 35 Available
25 PoliceCar 43 Maintenance
79 PoliceCar 39 Available
26 FireTruck 34 EnRoute
80 FireTruck 34 Maintenance
27 PoliceCar 23 Available
81 FireTruck 12 Available
28 Ambulance 32 EnRoute
82 PoliceCar 39 EnRoute
29 Ambulance 21 EnRoute
83 Ambulance 33 Available
30 FireTruck 24 Maintenance
84 FireTruck 17 Available
31 FireTruck 12 Maintenance
85 Ambulance 16 EnRoute
32 FireTruck 42 EnRoute
86 Ambulance 1 Available
33 PoliceCar 45 Available
87 FireTruck 11 Available
34 Ambulance 36 EnRoute
88 Ambulance 9 EnRoute
35 Ambulance 31 EnRoute
89 FireTruck 22 Available
36 Ambulance 46 Available
90 PoliceCar 23 Available
37 Ambulance 31 EnRoute
91 PoliceCar 17 Available
38 FireTruck 14 EnRoute
92 PoliceCar 49 EnRoute
39 Ambulance 2 Maintenance
93 Ambulance 41 Available
40 FireTruck 28 Available
94 FireTruck 39 Available
41 FireTruck 27 EnRoute
95 FireTruck 36 EnRoute
42 FireTruck 26 EnRoute
96 PoliceCar 32 Available
43 Ambulance 16 Available
97 FireTruck 38 Available
44 FireTruck 34 Available
98 Ambulance 31 Available
45 FireTruck 48 EnRoute
99 PoliceCar 40 EnRoute
46 Ambulance 7 Available
100 Ambulance 27 Available
47 PoliceCar 18 Available
48 Ambulance 26 Maintenance
49 Ambulance 28 Available
50 FireTruck 7 Maintenance
51 PoliceCar 44 Available
52 Ambulance 40 Available
