200
1 3 Crime 1 Pending
10 11 Medical 1 Pending
3 10 Medical 1 Dispatched
19 9 Medical 1 Pending
11 14 Crime 1 Dispatched
6 9 Fire 1 Dispatched
7 11 Medical 1 Dispatched
32 46 Crime 1 Dispatched
36 15 Crime 1 Pending
81 35 Fire 1 Dispatched
91 5 Fire 1 Dispatched
12 11 Fire 1 Pending
109 42 Fire 1 Pending
57 10 Medical 1 Dispatched
15 47 Crime 1 Pending
64 28 Medical 1 Pending
35 4 Crime 1 Dispatched
16 4 Crime 2 Dispatched
38 4 Medical 1 Pending
83 33 Fire 1 Pending
168 35 Fire 1 Dispatched
181 10 Crime 1 Dispatched
92 37 Fire 1 Dispatched
96 13 Medical 1 Dispatched
102 4 Medical 1 Dispatched
27 48 Medical 3 Dispatched
106 46 Crime 2 Dispatched
28 39 Crime 2 Dispatched
59 45 Crime 1 Dispatched
61 26 Medical 1 Pending
63 37 Crime 1 Dispatched
131 21 Crime 1 Dispatched
67 31 Fire 1 Dispatched
138 17 Crime 1 Pending
140 1 Medical 1 Pending
72 14 Crime 2 Dispatched
148 44 Crime 2 Dispatched
76 25 Crime 1 Pending
39 14 Crime 1 Dispatched
161 39 Medical 1 Pending
165 19 Crime 1 Dispatched
21 14 Medical 2 Pending
43 32 Fire 3 Pending
177 11 Crime 2 Pending
22 41 Fire 2 Dispatched
23 8 Medical 2 Pending
94 37 Medical 1 Pending
97 4 Crime 2 Pending
98 28 Crime 1 Pending
200 28 Medical 2 Dispatched
25 15 Medical 4 Pending
26 3 Medical 4 Dispatched
52 35 Medical 3 Dispatched
55 49 Medical 3 Pending
13 4 Crime 4 Dispatched
113 14 Medical 4 Pending
14 32 Fire 3 Pending
117 23 Crime 3 Dispatched
58 7 Medical 4 Dispatched
120 44 Fire 2 Pending
122 47 Fire 2 Pending
125 45 Crime 2 Pending
126 5 Medical 1 Pending
128 30 Crime 4 Pending
9 14 Fire 3 Dispatched
133 42 Crime 1 Dispatched
135 24 Fire 1 Dispatched
136 13 Fire 3 Dispatched
69 11 Fire 3 Pending
141 20 Medical 1 Dispatched
142 17 Medical 2 Pending
144 4 Fire 2 Dispatched
146 42 Crime 3 Dispatched
74 47 Crime 3 Pending
151 4 Crime 2 Dispatched
152 31 Crime 2 Dispatched
155 39 Crime 3 Dispatched
156 8 Fire 2 Pending
79 45 Crime 2 Dispatched
160 13 Medical 2 Pending
162 26 Medical 2 Pending
20 12 Crime 2 Dispatched
41 4 Medical 4 Dispatched
169 19 Crime 2 Pending
170 18 Medical 3 Dispatched
173 32 Crime 3 Dispatched
174 36 Crime 4 Dispatched
44 30 Medical 3 Dispatched
89 19 Medical 4 Dispatched
4 46 Fire 3 Pending
182 37 Crime 3 Dispatched
46 23 Medical 3 Pending
93 11 Crime 2 Dispatched
188 29 Medical 1 Dispatched
95 41 Medical 2 Dispatched
192 16 Medical 2 Dispatched
48 32 Fire 3 Dispatched
196 19 Medical 3 Dispatched
199 13 Fire 2 Pending
50 18 Medical 5 Dispatched
101 24 Medical 5 Dispatched
51 10 Fire 5 Dispatched
103 39 Medical 5 Pending
104 39 Fire 5 Dispatched
105 40 Medical 4 Pending
53 45 Crime 5 Pending
107 1 Crime 3 Pending
54 17 Crime 5 Pending
108 18 Fire 3 Pending
110 34 Crime 4 Dispatched
111 13 Fire 5 Pending
112 2 Crime 5 Dispatched
56 26 Crime 5 Pending
114 21 Medical 4 Pending
115 48 Fire 5 Pending
29 14 Crime 5 Pending
116 46 Crime 4 Dispatched
118 22 Fire 4 Pending
119 45 Fire 4 Pending
30 7 Fire 5 Pending
121 24 Medical 3 Pending
60 43 Fire 4 Pending
123 28 Crime 3 Dispatched
31 9 Fire 5 Dispatched
124 22 Fire 3 Pending
62 34 Fire 4 Dispatched
127 43 Medical 1 Pending
2 45 Medical 5 Pending
129 19 Medical 5 Pending
130 36 Medical 5 Pending
65 28 Fire 4 Dispatched
